City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
27,Narsaq,GL,60.9167,-46.05,22.46,90,100,5.7,overcast clouds
28,Busselton,AU,-33.65,115.3333,64.0,69,24,5.01,few clouds
29,Santa Engracia,ES,41.9406,-1.3245,51.01,81,90,12.66,overcast clouds
30,Terney,RU,45.0503,136.6092,0.36,84,0,8.19,clear sky
31,Arlit,NE,18.7369,7.3853,67.03,24,100,7.63,overcast clouds
32,Luderitz,NA,-26.6481,15.1594,65.03,77,17,12.17,few clouds
33,Cape Town,ZA,-33.9258,18.4232,71.01,64,0,16.11,clear sky
34,Terenos,BR,-20.4422,-54.8603,71.6,88,40,16.11,light rain
35,Brugg,CH,47.481,8.2087,35.01,36,100,6.02,overcast clouds
36,Gulf Gate Estates,US,27.2517,-82.5147,62.6,72,90,5.75,overcast clouds
37,Alice Springs,AU,-23.7,133.8833,60.8,44,0,4.61,clear sky
38,Hobart,AU,-42.8794,147.3294,62.6,55,90,20.71,overcast clouds
39,Cabo San Lucas,MX,22.8909,-109.9124,78.8,27,1,5.75,clear sky
40,Shaunavon,CA,49.6501,-108.4181,24.8,74,100,6.91,light snow
41,Rikitea,PF,-23.1203,-134.9692,78.96,75,0,13.38,clear sky
42,Butaritari,KI,3.0707,172.7902,80.58,76,73,19.26,broken clouds
43,Naze,JP,28.3667,129.4833,50.0,81,75,12.66,light rain
44,Cherskiy,RU,68.75,161.3,-32.44,84,92,2.55,overcast clouds
45,Cockburn Town,TC,21.4612,-71.1419,80.6,65,40,5.75,scattered clouds
46,Saint-Paul,RE,-21.0096,55.2707,78.8,69,0,19.57,clear sky
47,Dawson Creek,CA,55.7666,-120.2362,41.0,56,1,12.66,clear sky
48,Ancud,CL,-41.8697,-73.8203,64.4,63,0,8.05,clear sky
49,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,78,0,17.27,clear sky
50,Morondava,MG,-20.2833,44.2833,83.17,77,1,5.26,clear sky
51,Atar,MR,20.5169,-13.0499,65.98,22,100,16.06,overcast clouds
52,Muisne,EC,0.6,-80.0333,80.6,83,75,6.91,broken clouds
53,Ushuaia,AR,-54.8,-68.3,55.4,71,75,3.44,light rain
54,Pisco,PE,-13.7,-76.2167,73.4,73,0,24.16,clear sky
55,Villa Constitucion,AR,-33.2278,-60.3297,86.0,28,0,1.01,clear sky
56,Khani,GE,41.9563,42.9566,44.6,93,90,13.8,overcast clouds
57,Jamestown,US,42.097,-79.2353,33.01,93,90,11.5,light snow
58,Maiduguri,NG,11.8464,13.1603,72.23,21,5,8.21,clear sky
59,Pangnirtung,CA,66.1451,-65.7125,-7.6,71,20,2.08,few clouds
60,Alta Floresta,BR,-9.8756,-56.0861,75.34,88,47,2.04,scattered clouds
61,Hithadhoo,MV,-0.6,73.0833,80.94,71,92,7.87,overcast clouds
62,Hobyo,SO,5.3505,48.5268,75.94,76,0,12.95,clear sky
63,Port-Gentil,GA,-0.7193,8.7815,80.6,89,75,4.61,moderate rain
64,Avarua,CK,-21.2078,-159.775,84.2,70,90,8.05,overcast clouds
65,Sorland,NO,67.667,12.6934,30.2,93,75,3.44,broken clouds
66,Norman Wells,CA,65.282,-126.8329,-11.2,84,75,2.3,broken clouds
67,Provideniya,RU,64.3833,-173.3,-0.4,65,75,11.18,broken clouds
68,Acapulco,MX,16.8634,-99.8901,84.2,70,40,6.91,scattered clouds
